INDEX_,HOUR,DAYOFWEEK,VISIBILITY,LIGHT,RDSFCOND,TEMP,REL_HUMID,LOCCOORD,TRAFFCTL,ROADCLASS,SPEEDLMT,VEH_ADT,PED_ADT,LAND_USE,POP_2021,PRIV_DWELL,LAND_AREA,INVAGE,PEDCOND,PEDACT,VEHINV,VIOL,INJURY
80734374,14,weekday,Clear,Daylight,Dry,3.1,0.47,Intersection,Traffic Signal including Transit,Major Arterial,60,696.0,2.0,Parks,832,203,200,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Minor
80944171,7,weekday,Clear,Daylight,Dry,22.0,0.72,Intersection,Traffic Signal including Transit,Major Arterial,60,592.0,34.0,Parks,602,287,265,30 to 44,Normal,Crossing with ROW,truck,speeding,Major
80786999,11,weekday,Clear,Daylight,Dry,24.5,0.53,Intersection,Traffic Signal including Transit,Major Arterial,60,617.0,114.0,Residential,2911,989,951,45 to 64,Normal,Crossing with ROW,truck,aggressive driving,Minimal
80948219,21,weekend,Clear,Dark,Dry,21.1,0.62,Midblock,No Control,Major Arterial,60,27.0,7.0,Parks,599,253,235,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Major
80734116,19,weekday,Rain,Dark,Wet,0.3,0.95,Midblock,No Control,Minor Arterial,60,213.0,5.0,Residential,392,168,163,Over 65,Normal,Crossing with ROW and no control,automobile,speeding,Major
80787000,11,weekday,Clear,Daylight,Dry,24.5,0.53,Intersection,Traffic Signal including Transit,Major Arterial,60,617.0,114.0,Residential,2911,989,951,45 to 64,Normal,Crossing with ROW,truck,aggressive driving,Major
80793690,9,weekday,Clear,Daylight,Dry,-14.9,0.57,Intersection,Traffic Signal including Transit,Major Arterial,60,611.0,24.0,Residential,524,189,168,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
80948659,14,weekday,Clear,Daylight,Dry,24.8,0.53,Intersection,Traffic Signal including Transit,Major Arterial,60,467.0,42.0,Parks,1659,455,436,Over 65,Normal,Crossing with ROW,automobile,speeding,Fatal
80733972,15,weekday,Clear,Daylight,Dry,-1.4,0.61,Intersection,No Control,Minor Arterial,60,502.0,12.0,Residential,816,371,342,30 to 44,Normal,Other,automobile,aggressive driving,Major
81239018,17,weekday,Clear,Daylight,Dry,23.7,0.57,Midblock,No Control,Major Arterial,60,754.0,46.0,Mixed Use,1958,696,671,45 to 64,Distracted,Crossing with ROW and no control,automobile,speeding,Major
80944033,20,weekday,Clear,Daylight,Wet,21.0,0.78,Intersection,No Control,Minor Arterial,60,618.0,65.0,Residential,1269,754,711,30 to 44,Impaired - Alcohol (BAC = Normal),Crossing with ROW and no control,automobile,speeding,Major
